qtype,Question,Answer
treatment,What are the treatments for Angelman Syndrome ?,"There is no specific therapy for Angelman syndrome. Medical therapy for seizures is usually necessary. Physical and occupational therapies, communication therapy, and behavioral therapies are important in allowing individuals with Angelman syndrome to reach their maximum developmental potential."
treatment,What are the treatments for Inclusion Body Myositis ?,"There is no cure for IBM, nor is there a standard course of treatment. The disease is generally unresponsive to corticosteroids and immunosuppressive drugs. Some evidence suggests that intravenous immunoglobulin may have a slight, but short-lasting, beneficial effect in a small number of cases. Physical therapy may be helpful in maintaining mobility. Other therapy is symptomatic and supportive."
treatment,What are the treatments for Subacute Sclerosing Panencephalitis ?,"Currently, there is no cure for SSPE. Clinical trials of antiviral (isoprinosine and ribavirin) and immunomodulatory (interferon alpha) drugs have suggested that these types of therapies given alone or in combination halt the progression of the disease and can prolong life, but their long-term effects on individuals, and eventual outcome, are unknown. Good nursing care is the most important aspect of treatment for SSPE, along with anticonvulsant and antispasmodic drugs when needed."
treatment,What are the treatments for Hemifacial Spasm ?,"Surgical treatment in the form of microvascular decompression, which relieves pressure on the facial nerve, will relieve hemifacial spasm in many cases. This intervention has significant potential side-effects, so risks and benefits have to be carefully balanced. Other treatments include injections of botulinum toxin into the affected areas, which is the most effective therapy and the only one used in most cases. Drug therapy is generally not effective."
treatment,What are the treatments for Olivopontocerebellar Atrophy ?,"There is no specific treatmentfor OPCA. Physicians may try different medications to treat the ataxia, tremor, and rigidity that are associated with the disorder. Other treatments are directed at specific symptoms. Stiffness, spasms, sleep disorders, depression, and tremor may be improved with medication. A physical therapist may be helpful in establishing a routine of exercise and stretching, and in obtaining devices or appliances to assist in walking and other daily activities."
treatment,What are the treatments for Multifocal Motor Neuropathy ?,"Treatment for multifocal motor neuropathy varies. Some individuals experience only mild, modest symptoms and require no treatment. For others, treatment generally consists of intravenous immunoglobulin (IVIg) or immunosuppressive therapy with cyclophosphamide."
treatment,What are the treatments for Occipital Neuralgia ?,"Treatment is generally symptomatic and includes massage and rest. In some cases, antidepressants may be used when the pain is particularly severe. Other treatments may include local nerve blocks and injections of steroids directly into the affected area."
treatment,What are the treatments for Arachnoiditis ?,"Arachnoiditis remains a difficult condition to treat, and long-term outcomes are unpredictable. Most treatments for arachnoiditis are focused on pain relief and the improvement of symptoms that impair daily function. A regimen of pain management, physiotheraphy, exercise, and psychotheraphy is often recommended. Surgical intervention is controversial since the outcomes are generally poor and provide only short-term relief."
treatment,What are the treatments for Craniosynostosis ?,"Treatment for craniosynostosis generally consists of surgery to improve the symmetry and appearance of the head and to relieve pressure on the brain and the cranial nerves. For some children with less severe problems, cranial molds can reshape the skull to accommodate brain growth and improve the appearance of the head."
treatment,What are the treatments for Cavernous Malformation ?,"The primary treatment option for a CCM is surgical removal. Radiation therapy has not been shown to be effective. The decision to operate is made based upon the risk of approaching the lesion. For example, symptomatic lesions close to the brain surface in non eloquent brain (areas for example, those areas not involved with motor function, speech, vision, hearing, memory, and learning) are very likely to be candidates for removal. On the other hand, lesions located in deep brain areas are associated with higher surgical risk and are often not candidates for surgery until the lesion has bled multiple times. Medications can often lessen general symptoms such as headache, back pain, and seizures."
treatment,What are the treatments for Locked-In Syndrome ?,"There is no cure for locked-in syndrome, nor is there a standard course of treatment. A therapy called functional neuromuscular stimulation, which uses electrodes to stimulate muscle reflexes, may help activate some paralyzed muscles. Several devices to help communication are available. Other treatment is symptomatic and supportive."
treatment,What are the treatments for Machado-Joseph Disease ?,Lyme disease is treated with antibiotics under the supervision of a physician.
treatment,What are the treatments for Acid Lipase Disease ?,"Enzyme replacement therapy for both Wolman's and cholesteryl ester storage disease is currently under investigation. Certain drugs may be given to help with adrenal gland production, and children may need to be fed intravenously. Individuals with CESD may benefit from a low cholesterol diet."
treatment,What are the treatments for Agenesis of the Corpus Callosum ?,"There is no standard course of treatment for ACC. Treatment usually involves management of symptoms and seizures if they occur. Associated difficulties are much more manageable with early recognition and therapy, especially therapies focusing on left/right coordination. Early diagnosis and interventions are currently the best treatments to improve social and developmental outcomes."
treatment,What are the treatments for Trigeminal Neuralgia ?,"Because there are a large number of conditions that can cause facial pain, TN can be difficult to diagnose. But finding the cause of the pain is important as the treatments for different types of pain may differ. Treatment options include medicines such as anticonvulsants and tricyclic antidepressants, surgery, and complementary approaches. Typical analgesics and opioids are not usually helpful in treating the sharp, recurring pain caused by TN. If medication fails to relieve pain or produces intolerable side effects such as excess fatigue, surgical treatment may be recommended. Several neurosurgical procedures are available. Some are done on an outpatient basis, while others are more complex and require hospitalization. Some patients choose to manage TN using complementary techniques, usually in combination with drug treatment. These techniques include acupuncture, biofeedback, vitamin therapy, nutritional therapy, and electrical stimulation of the nerves."
treatment,What are the treatments for Neuronal Migration Disorders ?,"Treatment is symptomatic, and may include anti-seizure medication and special or supplemental education consisting of physical, occupational, and speech therapies."
treatment,What are the treatments for Autism ?,"There is no cure for autism. Therapies and behavioral interventions are designed to remedy specific symptoms and can bring about substantial improvement. The ideal treatment plan coordinates therapies and interventions that meet the specific needs of individual children. Treatment options include educational/bahavioral interventions, medications, and other therapies. Most professionals agree that the earlier the intervention, the better."
treatment,What are the treatments for Meningitis and Encephalitis ?,Anyone experiencing symptoms of meningitis or encephalitis should see a doctor immediately. Antibiotics for most types of meningitis can greatly reduce the risk of dying from the disease. Antiviral medications may be prescribed for viral encephalitis or other severe viral infections.Anticonvulsants are used to prevent or treat seizures. Corticosteroidd rugs can reduce brain swelling and inflammation. Over-the-counter medications may be used for fever and headache. Individuals with encephalitis or bacterial meningitis are usually hospitalized for treatment. Affected individuals with breathing difficulties may require artificial respiration.
treatment,What are the treatments for SUNCT Headache ?,"These headaches are generally non-responsive to usual treatment for other short-lasting headaches. Corticosteroids and the anti-epileptic drugs gabapentin, lamotrigine, and carbamazepine may help relieve some symptoms in some patients. Studies have shown that injections of glycerol to block nerve signaling along the trigeminal nerve may provide temporary relief in some severe cases, but the headaches recurred in about 40 percent of individuals studied."
treatment,What are the treatments for Dyslexia ?,The main focus of treatment should be on the specific learning problems of affected individuals. The usual course is to modify teaching methods and the educational environment to meet the specific needs of the individual with dyslexia.
treatment,What are the treatments for Aphasia ?,"In some instances, an individual will completely recover from aphasia without treatment. In most cases, however, language therapy should begin as soon as possible and be tailored to the individual needs of the person. Rehabilitation with a speech pathologist involves extensive exercises in which individuals read, write, follow directions, and repeat what they hear. Computer-aided therapy may supplement standard language therapy."
treatment,What are the treatments for Colpocephaly ?,"There is no definitive treatment for colpocephaly. Anticonvulsant medications are often prescribed to prevent seizures, and doctors rely on exercise therapies and orthopedic appliances to reduce shrinkage or shortening of muscles."
treatment,What are the treatments for Benign Essential Blepharospasm ?,In most cases of BEB the treatment of choice is botulinum toxin injections which relax the muscles and stop the spasms. Other treatment options include medications (drug therapy) or surgery--either local surgery of the eye muscles or deep brain stimulation surgery.
treatment,What are the treatments for Traumatic Brain Injury ?,"Anyone with signs of moderate or severe TBI should receive medical attention as soon as possible. Because little can be done to reverse the initial brain damage caused by trauma, medical personnel try to stabilize an individual with TBI and focus on preventing further injury. Primary concerns include insuring proper oxygen supply to the brain and the rest of the body, maintaining adequate blood flow, and controlling blood pressure. Imaging tests help in determining the diagnosis and prognosis of a TBI patient. Patients with mild to moderate injuries may receive skull and neck X-rays to check for bone fractures or spinal instability. For moderate to severe cases, the imaging test is a computed tomography (CT) scan. Moderately to severely injured patients receive rehabilitation that involves individually tailored treatment programs in the areas of physical therapy, occupational therapy, speech/language therapy, physiatry (physical medicine), psychology/psychiatry, and social support."
treatment,What are the treatments for Polymyositis ?,"There is no cure for polymyositis, but the symptoms can be treated. Options include medication, physical therapy, exercise, heat therapy (including microwave and ultrasound), orthotics and assistive devices, and rest. The standard treatment for polymyositis is a corticosteroid drug, given either in pill form or intravenously. Immunosuppressant drugs, such as azathioprine and methotrexate, may reduce inflammation in people who do not respond well to prednisone. Periodic treatment using intravenous immunoglobulin can also improve recovery. Other immunosuppressive agents used to treat the inflammation associated with polymyositis include cyclosporine A, cyclophosphamide, and tacrolimus. Physical therapy is usually recommended to prevent muscle atrophy and to regain muscle strength and range of motion."
treatment,What are the treatments for Wallenberg's Syndrome ?,"Treatment for Wallenberg's syndrome is symptomatic. A feeding tube may be necessary if swallowing is very difficult. Speech/swallowing therapy may be beneficial. In some cases, medication may be used to reduce or eliminate pain. Some doctors report that the anti-epileptic drug gabapentin appears to be an effective medication for individuals with chronic pain."
treatment,What are the treatments for Monomelic Amyotrophy ?,There is no cure for MMA. Treatment consists of muscle strengthening exercises and training in hand coordination
treatment,What are the treatments for Gerstmann's Syndrome ?,"There is no cure for Gerstmann's syndrome. Treatment is symptomatic and supportive. Occupational and speech therapies may help diminish the dysgraphia and apraxia. In addition, calculators and word processors may help school children cope with the symptoms of the disorder."
treatment,What are the treatments for Whiplash ?,"Treatment for individuals with whiplash may include pain medications, nonsteroidal anti-inflammatory drugs, antidepressants, muscle relaxants, and a cervical collar (usually worn for 2 to 3 weeks). Range of motion exercises, physical therapy, and cervical traction may also be prescribed. Supplemental heat application may relieve muscle tension."
treatment,What are the treatments for Tardive Dyskinesia ?,"Treatment is highly individualized. The first step is generally to stop or minimize the use of the neuroleptic drug, but this can be done only under close supervision of the physician.. However, for patients with a severe underlying condition this may not be a feasible option. Replacing the neuroleptic drug with substitute drugs may help some individuals. The only approved drug treatment for tardive dyskenesia is tetrabenazine, which is usually effective but can have side effects that need to be discussed prior to starting therapy. Other drugs such as benzodiazepines, clozapine, or botulinum toxin injections also may be tried."
treatment,What are the treatments for Isaacs' Syndrome ?,"Anticonvulsants, including phenytoin and carbamazepine, usually provide significant relief from the stiffness, muscle spasms, and pain associated with Isaacs' syndrome. Plasma exchange may provide short-term relief for individuals with some forms of the acquired disorder."
treatment,What are the treatments for Learning Disabilities ?,"The most common treatment for learning disabilities is special education. Specially trained educators may perform a diagnostic educational evaluation assessing the child's academic and intellectual potential and level of academic performance. Once the evaluation is complete, the basic approach is to teach learning skills by building on the child's abilities and strengths while correcting and compensating for disabilities and weaknesses. Other professionals such as speech and language therapists also may be involved. Some medications may be effective in helping the child learn by enhancing attention and concentration. Psychological therapies may also be used."
treatment,What are the treatments for Spasticity ?,"Treatment may include such medications as baclofen, diazepam, tizanidine or clonazepam. Physical therapy regimens may include muscle stretching and range of motion exercises to help prevent shrinkage or shortening of muscles and to reduce the severity of symptoms. Targeted injection of botulinum toxin into muscles with the most tome can help to selectively weaken these muscles to improve range of motion and function. Surgery may be recommended for tendon release or to sever the nerve-muscle pathway."
treatment,What are the treatments for Prosopagnosia ?,The focus of any treatment should be to help the individual with prosopagnosia develop compensatory strategies. Adults who have the condition as a result of stroke or brain trauma can be retrained to use other clues to identify individuals.
treatment,What are the treatments for Lesch-Nyhan Syndrome ?,"Treatment for LNS is symptomatic. Gout can be treated with allopurinol to control excessive amounts of uric acid. Kidney stones may be treated with lithotripsy, a technique for breaking up kidney stones using shock waves or laser beams. There is no standard treatment for the neurological symptoms of LNS. Some may be relieved with the drugs carbidopa/levodopa, diazepam, phenobarbital, or haloperidol."
treatment,What are the treatments for Deep Brain Stimulation for Parkinson's Disease ?,"Unlike previous surgeries for PD, DBS involves minimal permanent surgical changes to the brain. Instead, the procedure uses electrical stimulation to regulate electrical signals in neural circuits to and from identified areas in the brain to improve PD symptoms. Thus, if DBS causes unwanted side effects or newer, more promising treatments develop in the future, the implantable pulse generator can be removed, and the DBS procedure can be halted. Also, stimulation from the IPG is easily adjustablewithout further surgeryif the persons condition changes. Some people describe the pulse generator adjustments as ""programming."""
treatment,What are the treatments for Lambert-Eaton Myasthenic Syndrome ?,"There is no cure for LEMS. Treatment is directed at decreasing the autoimmune response (through the use of steroids, plasmapheresis, or high-dose intravenous immunoglobulin) or improving the transmission of the disrupted electrical impulses by giving drugs such as di-amino pyridine or pyridostigmine bromide (Mestinon). For patients with small cell lung cancer, treatment of the cancer is the first priority."
treatment,What are the treatments for Swallowing Disorders ?,"Changing a person's diet by adding thickeners helps many people, as does learning different ways to eat and chew that reduce the risk for aspiration. Occasionally drug therapy that helps the neurological disorder can also help dysphagia. In a few persons, botulinum toxin injections can help when food or liquid cannot enter the esophagus to get to the stomach. More severely disabled individuals may require surgery or the insertion of feeding tubes."
treatment,What are the treatments for Post-Polio Syndrome ?,"Presently, no prevention has been found that can stop deterioration or reverse the deficits caused by the syndrome A number of controlled studies have demonstrated that nonfatiguing exercises may improve muscle strength and reduce tiredness. Doctors recommend that polio survivors follow standard healthy lifestyle practices: consuming a well-balanced diet, exercising judiciously (preferably under the supervision of an experienced health professional), and visiting a doctor regularly. There has been much debate about whether to encourage or discourage exercise for polio survivors or individuals who already have PPS. A commonsense approach, in which people use individual tolerance as their limit, is currently recommended. Preliminary studies indicate that intravenous immunoglobulin therapy may reduce pain, increase quality of life, and improve strength modestly."
treatment,What are the treatments for Absence of the Septum Pellucidum ?,Absence of the SP alone is not a disorder but is instead a characteristic noted in children with septo-optic dysplasia or other developmental anomalies.
treatment,What are the treatments for Peripheral Neuropathy ?,"No medical treatments exist that can cure inherited peripheral neuropathy. However, there are therapies for many other forms. In general, adopting healthy habits -- such as maintaining optimal weight, avoiding exposure to toxins, following a physician-supervised exercise program, eating a balanced diet, correcting vitamin deficiencies, and limiting or avoiding alcohol consumption -- can reduce the physical and emotional effects of peripheral neuropathy. Systemic diseases frequently require more complex treatments."
treatment,What are the treatments for Microcephaly ?,"There is no treatment for microcephaly that can return a childs head to a normal size or shape. Treatment focuses on ways to decrease the impact of the associated deformities and neurological disabilities. Children with microcephaly and developmental delays are usually evaluated by a pediatric neurologist and followed by a medical management team. Early childhood intervention programs that involve physical, speech, and occupational therapists help to maximize abilities and minimize dysfunction. Medications are often used to control seizures, hyperactivity, and neuromuscular symptoms. Genetic counseling may help families understand the risk for microcephaly in subsequent pregnancies."
treatment,What are the treatments for Erb-Duchenne and Dejerine-Klumpke Palsies ?,"Some brachial plexus injuries may heal without treatment. Many children who are injured during birth improve or recover by 3 to 4 months of age. Treatment for brachial plexus injuries includes physical therapy and, in some cases, surgery."
treatment,What are the treatments for Dementia With Lewy Bodies ?,"There is no cure for DLB. Treatments are aimed at controlling the cognitive, psychiatric, and motor symptoms of the disorder. Acetylcholinesterase inhibitors, such as donepezil and rivastigmine, are primarily used to treat the cognitive symptoms of DLB, but they may also be of some benefit in reducing the psychiatric and motor symptoms. Doctors tend to avoid prescribing antipsychotics for hallucinatory symptoms of DLB because of the risk that neuroleptic sensitivity could worsen the motor symptoms. Some individuals with DLB may benefit from the use of levodopa for their rigidity and loss of spontaneous movement."
treatment,What are the treatments for Encephalitis Lethargica ?,Treatment for encephalitis lethargica is symptomatic. Levodopa and other antiparkinson drugs often produce dramatic responses.
treatment,What are the treatments for Cephalic Disorders ?,"Treatments for cephalic disorders depend upon the particular type of disorder. For most cephalic disorders, treatment is only symptomatic and supportive. In some cases, anticonvulsant medications shunts, or physical therapy are appropriate."
treatment,What are the treatments for Multi-Infarct Dementia ?,"There is no treatment available to reverse brain damage that has been caused by a stroke. Treatment focuses on preventing future strokes by controlling or avoiding the diseases and medical conditions that put people at high risk for stroke: high blood pressure, diabetes, high cholesterol, and cardiovascular disease. The best treatment for MID is prevention early in life  eating a healthy diet, exercising, not smoking, moderately using alcohol, and maintaining a healthy weight."
treatment,What are the treatments for Febrile Seizures ?,"A child who has a febrile seizure usually doesn't need to be hospitalized. If the seizure is prolonged or is accompanied by a serious infection, or if the source of the infection cannot be determined, a doctor may recommend that the child be hospitalized for observation. Prolonged daily use of anti-seizure medicines is usually not recommended because of their potential for harmful side effects. Children especially prone to febrile seizures may be treated with medication when they have a fever to lower the risk of having another febrile seizure."
treatment,What are the treatments for Normal Pressure Hydrocephalus ?,Treatment for NPH involves surgical placement of a shunt in the brain to drain excess CSF into the abdomen where it can be absorbed as part of the normal circulatory process. This allows the brain ventricles to return to their normal size. Regular follow-up care by a physician is important in order to identify subtle changes that might indicate problems with the shunt.
treatment,What are the treatments for Miller Fisher Syndrome ?,Treatment for Miller Fisher syndrome is identical to treatment for Guillain-Barr syndrome: intravenous immunoglobulin (IVIg) or plasmapheresis (a procedure in which antibodies are removed from the blood) and supportive care.
treatment,What are the treatments for Chronic Pain ?,"Medications, acupuncture, local electrical stimulation, and brain stimulation, as well as surgery, are some treatments for chronic pain. Some physicians use placebos, which in some cases has resulted in a lessening or elimination of pain. Psychotherapy, relaxation and medication therapies, biofeedback, and behavior modification may also be employed to treat chronic pain."
treatment,What are the treatments for Adrenoleukodystrophy ?,"Adrenal function must be tested periodically in all patients with ALD. Treatment with adrenal hormones can be lifesaving. Symptomatic and supportive treatments for ALD include physical therapy, psychological support, and special education. Recent evidence suggests that a mixture of oleic acid and erucic acid, known as ""Lorenzo's Oil,"" administered to boys with X-ALD prior to symptom onset can prevent or delay the appearance of the childhood cerebral form It is not known whether Lorenzo's Oil will have any beneficial effects in AMN. Furthermore, Lorenzo's Oil has no beneficial effect in symptomatic boys with X-ALD. Bone marrow transplantations can provide long-term benefit to boys who have early evidence of the childhood cerebral form of X-ALD, but the procedure carries risk of mortality and morbidity and is not recommended for those whose symptoms are already severe or who have the adult-onset or neonatal forms."
treatment,What are the treatments for Hydromyelia ?,"Generally, physicians recommend surgery for children with hydromyelia if they have moderate or severe neurological deficits. Surgical treatment re-establishes the normal flow of spinal fluid."
treatment,What are the treatments for Joubert Syndrome ?,"Treatment for Joubert syndrome is symptomatic and supportive. Infant stimulation and physical, occupational, and speech therapy may benefit some children. Infants with abnormal breathing patterns should be monitored. Screening for progressive eye, liver, and kidney complications associated with Joubert-related disorders should be performed on a regular basis."
treatment,What are the treatments for Infantile Spasms ?,"Treatment with corticosteroids such as prednisone is standard, although serious side effects can occur. Several newer antiepileptic medications, such as topiramate may ease some symptoms. Vigabatrin (Sabril) has been approved by the U.S. Food and Drug Administration to treat infantile spasms in children ages one month to two years. Some children have spasms as the result of brain lesions, and surgical removal of these lesions may result in improvement."
treatment,What are the treatments for Arachnoid Cysts ?,"There has been active debate about how to treat arachnoid cysts. The need for treatment depends mostly upon the location and size of the cyst. If the cyst is small, not disturbing surrounding tissue, and not causing symptoms, some doctors will refrain from treatment. In the past, doctors placed shunts in the cyst to drain its fluid. Now with microneurosurgical techniques and endoscopic tools that allow for minimally invasive surgery, more doctors are opting to surgically remove the membranes of the cyst or open the cyst so its fluid can drain into the cerebrospinal fluid and be absorbed."
treatment,What are the treatments for Behcet's Disease ?,Treatment for Behcet's disease is symptomatic and supportive. Medication may be prescribed to reduce inflammation and/or regulate the immune system. Immunosuppressive therapy may be considered.
treatment,What are the treatments for Pelizaeus-Merzbacher Disease ?,"There is no cure for Pelizaeus-Merzbacher disease, nor is there a standard course of treatment. Treatment is symptomatic and supportive and may include medication for movement disorders."
treatment,What are the treatments for Barth Syndrome ?,"There is no specific treatment for Barth syndrome. Bacterial infections caused by neutropenia can be effectively treated with antibiotics. The drug granulocyte colony stimulating factor, or GCSF, can stimulate white cell production by the bone marrow and help combat infection. Medicines may be prescribed to control heart problems. The dietary supplement carnitine has aided some children with Barth syndrome but in others it has caused increasing muscle weakness and even precipitated heart failure. Only careful dietary monitoring directed by a physician or nutritionist familiar with the disorder can ensure proper caloric and nutritional intake."
treatment,What are the treatments for Pervasive Developmental Disorders ?,There is no known cure for PDD. Medications are used to address specific behavioral problems; therapy for children with PDD should be specialized according to need. Some children with PDD benefit from specialized classrooms in which the class size is small and instruction is given on a one-to-one basis. Others function well in standard special education classes or regular classes with additional support.
treatment,What are the treatments for Krabbe Disease ?,"There is no cure for Krabbe disease. Results of a very small clinical trial of children with infantile Krabbe disease found that children who received umbilical cord blood stem cells from unrelated donors prior to symptom onset developed with little neurological impairment. Bone marrow transplantation may help some people. Generally, treatment for the disorder is symptomatic and supportive. Physical therapy may help maintain or increase muscle tone and circulation."
treatment,What are the treatments for Chronic Inflammatory Demyelinating Polyneuropathy (CIDP) ?,"Treatment for CIDP includes corticosteroids such as prednisone, which may be prescribed alone or in combination with immunosuppressant drugs. Plasmapheresis (plasma exchange) and intravenous immunoglobulin (IVIg) therapy are effective. IVIg may be used even as a first-line therapy. Physiotherapy may improve muscle strength, function and mobility, and minimize the shrinkage of muscles and tendons and distortions of the joints."
treatment,What are the treatments for Asperger Syndrome ?,"The ideal treatment for AS coordinates therapies that address the three core symptoms of the disorder: poor communication skills, obsessive or repetitive routines, and physical clumsiness. There is no single best treatment package for all children with AS, but most professionals agree that the earlier the intervention, the better.
                
An effective treatment program builds on the childs interests, offers a predictable schedule, teaches tasks as a series of simple steps, actively engages the childs attention in highly structured activities, and provides regular reinforcement of behavior. It may include social skills training, cognitive behavioral therapy, medication for co-existing conditions, and other measures."
treatment,What are the treatments for Corticobasal Degeneration ?,"There is no treatment available to slow the course of corticobasal degeneration, and the symptoms of the disease are generally resistant to therapy. Drugs used to treat Parkinson disease-type symptoms do not produce any significant or sustained improvement. Clonazepam may help the myoclonus. Occupational, physical, and speech therapy can help in managing disability."
treatment,What are the treatments for Mucopolysaccharidoses ?,"Currently there is no cure for these disease syndromes.Medical care is directed at treating systemic conditions and improving the person's quality of life. Physical therapy and daily exercise may delay joint problems and improve the ability to move.Surgery to remove tonsils and adenoids may improve breathing among affected individuals with obstructive airway disorders and sleep apnea. Surgery can also correct hernias, help drain excessive cerebrospinal fluid from the brain, and free nerves and nerve roots compressed by skeletal and other abnormalities. Corneal transplants may improve vision among individuals with significant corneal clouding.Enzyme replacement therapies are currently in use for several MPS disorders and are beig tested in the other MPS disorders. Enzyme replacement therapy has proven useful in reducing non-neurological symptoms and pain."
treatment,What are the treatments for Klippel-Trenaunay Syndrome (KTS) ?,"There is no cure for KTS. Treatment is symptomatic. Laser surgery can diminish or erase some skin lesions. Surgery may correct discrepancies in limb size, but orthopedic devices may be more appropriate."
treatment,What are the treatments for Periventricular Leukomalacia ?,There is no specific treatment for PVL. Treatment is symptomatic and supportive. Children with PVL should receive regular medical screenings to determine appropriate interventions.
treatment,What are the treatments for Brown-Sequard Syndrome ?,Generally treatment for individuals with BSS focuses on the underlying cause of the disorder. Early treatment with high-dose steroids may be beneficial in many cases. Other treatment is symptomatic and supportive.
treatment,What are the treatments for Neurological Sequelae Of Lupus ?,"There is no cure for lupus. Treatment is symptomatic. With a combination of medication, rest, exercise, proper nutrition, and stress management, most individuals with lupus can often achieve remission or reduce their symptom levels. Medications used in the treatment of lupus may include aspirin and other nonsteroidal anti-inflammatory medications, antimalarials, corticosteroids, and immunosuppressive drugs."
treatment,What are the treatments for Generalized Gangliosidoses ?,No specific treatment exists for the gangliosidoses. Anticonvulsants may initially control seizures. Other supportive treatment includes proper nutrition and hydration and keeping the airway open.
treatment,What are the treatments for Paroxysmal Hemicrania ?,"The nonsteroidal anti-inflammatory drug (NSAID) indomethacin often provides complete relief from symptoms. Other less effective NSAIDs, calcium-channel blocking drugs (such as verapamil), and corticosteroids may be used to treat the disorder. Patients with both paroxysmal hemicrania and trigeminal neuralgia (a condition of the 5th cranial nerve that causes sudden, severe pain typically felt on one side of the jaw or cheek) should receive treatment for each disorder."
treatment,What are the treatments for Myopathy ?,"Treatments for the myopathies depend on the disease or condition and specific causes. Supportive and symptomatic treatment may be the only treatment available or necessary for some disorders. Treatment for other disorders may include drug therapy, such as immunosuppressives, physical therapy, bracing to support weakened muscles, and surgery."
treatment,What are the treatments for Troyer Syndrome ?,There are no specific treatments to prevent or slow the progressive degeneration seen in Troyer syndrome. Symptomatic therapy includes antispasmodic drugs and physical therapy to improve muscle strength and maintain range of motion in the legs. Assistive devices may be needed to help with walking.
treatment,What are the treatments for Stroke ?,"Generally there are three treatment stages for stroke: prevention, therapy immediately after the stroke, and post-stroke rehabilitation. Therapies to prevent a first or recurrent stroke are based on treating an individual's underlying risk factors for stroke, such as hypertension, atrial fibrillation, and diabetes. Acute stroke therapies try to stop a stroke while it is happening by quickly dissolving the blood clot causing an ischemic stroke or by stopping the bleeding of a hemorrhagic stroke. Post-stroke rehabilitation helps individuals overcome disabilities that result from stroke damage. Medication or drug therapy is the most common treatment for stroke. The most popular classes of drugs used to prevent or treat stroke are antithrombotics (antiplatelet agents and anticoagulants) and thrombolytics."
treatment,What are the treatments for Parkinson's Disease ?,"At present, there is no cure for PD, but a variety of medications provide dramatic relief from the symptoms. Usually, affected individuals are given levodopa combined with carbidopa. Carbidopa delays the conversion of levodopa into dopamine until it reaches the brain. Nerve cells can use levodopa to make dopamine and replenish the brain's dwindling supply. Although levodopa helps at least three-quarters of parkinsonian cases, not all symptoms respond equally to the drug. Bradykinesia and rigidity respond best, while tremor may be only marginally reduced. Problems with balance and other symptoms may not be alleviated at all. Anticholinergics may help control tremor and rigidity. Other drugs, such as bromocriptine, pramipexole, and ropinirole, mimic the role of dopamine in the brain, causing the neurons to react as they would to dopamine. An antiviral drug, amantadine, also appears to reduce symptoms. In May 2006, the FDA approved rasagiline to be used along with levodopa for patients with advanced PD or as a single-drug treatment for early PD.
                
In some cases, surgery may be appropriate if the disease doesn't respond to drugs. A therapy called deep brain stimulation (DBS) has now been approved by the U.S. Food and Drug Administration. In DBS, electrodes are implanted into the brain and connected to a small electrical device called a pulse generator that can be externally programmed. DBS can reduce the need for levodopa and related drugs, which in turn decreases the involuntary movements called dyskinesias that are a common side effect of levodopa. It also helps to alleviate fluctuations of symptoms and to reduce tremors, slowness of movements, and gait problems. DBS requires careful programming of the stimulator device in order to work correctly."
treatment,What are the treatments for Melkersson-Rosenthal Syndrome ?,"Treatment is symptomatic and may include medication therapies with nonsteroidal anti-inflammatory drugs (NSAIDs) and corticosteroids to reduce swelling, as well as antibiotics and immunosuppressants. Surgery may be recommended to relieve pressure on the facial nerves and to reduce swollen tissue, but its effectiveness has not been established. Massage and electrical stimulation may also be prescribed."
treatment,What are the treatments for Sjgren's Syndrome ?,"There is no known cure for Sjgren's syndrome nor is there a specific treatment to restore gland secretion. Treatment is generally symptomatic and supportive. Moisture replacement therapies may ease the symptoms of dryness. Nonsteroidal anti-inflammatory drugs may be used to treat musculoskeletal symptoms. For individuals with severe complications, corticosteroids or immunosuppressive drugs may be prescribed."
treatment,What are the treatments for Hydranencephaly ?,There is no definitive treatment for hydranencephaly. Treatment is symptomatic and supportive. Hydrocephalus may be treated with a shunt (a surgically implanted tube that diverts fluid from one pathway to another).
treatment,What are the treatments for Progressive Multifocal Leukoencephalopathy ?,"Currently, the best available therapy is reversal of the immune-deficient state, since there are no effective drugs that block virus infection without toxicity. Reversal may be achieved by using plasma exchange to accelerate the removal of the therapeutic agents that put patients at risk for PML. In the case of HIV-associated PML, immediately beginning anti-retroviral therapy will benefit most individuals. Several new drugs that laboratory tests found effective against infection are being used in PML patients with special permission of the U.S. Food and Drug Administration. Hexadecyloxypropyl-Cidofovir (CMX001) is currently being studied as a treatment option for JVC because of its ability to suppress JVC by inhibiting viral DNA replication."
treatment,What are the treatments for Williams Syndrome ?,"There is no cure for Williams syndrome, nor is there a standard course of treatment. Because WS is an uncommon and complex disorder, multidisciplinary clinics have been established at several centers in the       United States   . Treatments are based on an individuals particular symptoms. People with WS require regular cardiovascular monitoring for potential medical problems, such as symptomatic narrowing of the blood vessels, high blood pressure, and heart failure"
treatment,What are the treatments for Hypotonia ?,"Treatment begins with a thorough diagnostic evaluation, usually performed by a neurologist, including an assessment of motor and sensory skills, balance and coordination, mental status, reflexes, and functioning of the nerves. Diagnostic tests that may be helpful include a CT or MRI scan of the brain, an EMG to evaluate nerve and muscle function, or an EEG to measure electrical activity in the brain. Once a diagnosis has been made, the underlying condition is treated first, followed by symptomatic and supportive therapy for the hypotonia. Physical therapy can improve motor control and overall body strength. Occupational therapy can help relearn ways to address activities of daily living. Speech-language therapy can help breathing, speech, and swallowing difficulties. Therapy for infants and young children may also include sensory stimulation programs."
